# Wave 5 rename manifest. Reviewed as a list, not as a diff.
# old	new	module	collision-group	declared in
HomeContextCandidateProvider	HomeContextCandidateSource	Foundation	provider-role	LifeBoard/Foundation/LifeOSFoundationContracts.swift
HomeCardProvider	HomeCardSource	Foundation	provider-role	LifeBoard/Foundation/LifeOSFoundationContracts.swift
GoalSampleProvider	GoalSampleRepository	Track	provider-role	LifeBoard/Features/Track/Domain/TrackFoundationModels.swift
CoreDataGoalSampleProvider	CoreDataGoalSampleRepository	Track	provider-role	LifeBoard/Features/Track/Data/TrackFoundationPersistence.swift
AppleRemindersProviderProtocol	AppleRemindersRepositoryProtocol	LifeBoardDomain	provider-role	Packages/LifeBoardDomain/Sources/LifeBoardDomain/Interfaces_AppleRemindersRepositoryProtocol.swift
CalendarEventsProviderProtocol	CalendarEventsRepositoryProtocol	LifeBoardDomain	provider-role	Packages/LifeBoardDomain/Sources/LifeBoardDomain/Interfaces_CalendarEventsRepositoryProtocol.swift
EventKitCalendarEventsProvider	EventKitCalendarEventsRepository	LifeBoardCalendar	provider-role	Packages/LifeBoardCalendar/Sources/LifeBoardCalendar/EventKitCalendarEventsRepository.swift
EventKitAppleRemindersProvider	EventKitAppleRemindersRepository	LifeBoardCalendar	provider-role	Packages/LifeBoardCalendar/Sources/LifeBoardCalendar/EventKitAppleRemindersRepository.swift
UITestCalendarEventsProvider	UITestCalendarEventsRepository	Calendar	provider-role	LifeBoard/Features/Calendar/Data/UITestCalendarEventsRepository.swift
LLMAssistantPipelineProvider	LLMAssistantPipelineFactory	Eva	provider-role	LifeBoard/Features/Eva/Models/LLMAssistantPipelineFactory.swift
LLMContextRepositoryProvider	LLMContextRepositoryFactory	Eva	provider-role	LifeBoard/Features/Eva/Models/LLMContextProjectionService.swift
MascotSpriteFrameProvider	MascotSpriteFrameSource	Eva	provider-role	LifeBoard/Features/Eva/Views/Shared/EvaMediaView.swift
